id;name;calories;proteins;fats;carbohydrates
2;Баранки, сушки;272;8.6;0.5;56.8
194;Батоны;240;7.5;1;49.5
193;Булки городские;270;7.9;1.9;53
3;"Галеты ""Поход""";334;12.7;0;68.8
4;Мука пшеничная;315;8.3;1.4;65.5
5;Мука ржаная;315;7.5;1.5;66.2
6;Печенье сахарное;408;9.9;9.8;67.7
7;Печенье сухое;424;12;14.6;58.4
8;Пряники;334;8.9;0;72.5
9;Сухари дорожные;340;10.1;1;69
10;Сухари пшеничные;335;10.5;1.2;68.5
11;Сухари ржаные;306;7.7;1.3;64.1
12;Хлеб пшеничный грубый;217;6.9;0.4;45.2
13;Хлеб пшеничный лучший;268;5.8;0.5;56.1
14;Хлеб ржаной;204;5.1;1;42.5
16;Брынза 40% жирности;237;15.1;18;1.9
17;Маргарин молочный;720;0.4;77.1;0.4
18;Маргарин столовый;780;1;83;0.8
19;Масло подсолнечное;882;0;94.9;0
20;Масло слив. вологодское;733;0.8;78.2;0.6
21;Масло слив. несоленое;734;0.4;78.5;0.5
22;Масло слив. шоколадное;631;1.2;59;18.9
23;Масло топленое;869;0;93.5;0
24;Масло хлопковое;881;0;94.7;0
25;Молоко коровье сухое;469;22.8;24.4;36.3
26;Молоко сгущеное с сахаром;324;6.8;8.3;53.5
27;Молоко сгущеное без сах.;133;5.5;7.7;9.6
28;Молоко сухое;480;27.1;24.6;25.8
29;Молоко сухое обезжиренное;338;32.5;0.8;48
30;Сливки сгущеные с сахаром;383;6.2;18.2;45.9
31;Сливки сухие без сахара;566;16.9;40.6;28.9
32;Сыр 40% жирности;292;22.5;19.9;3.4
33;Сыр 45% жирности;345;21.2;26.9;2
34;Сыр 50% жирности;379;21.4;30.3;2.5
35;Сыр плавленый 40% жирн.;254;19.4;17.9;1.9
187;Яичный порошок;522;49.9;34.2;0
204;Творог нежирный;75;13;0.5;3.5
205;Творог 9% жирности;141;12;8.5;3.3
206;Творог  20% жирности;233;11.1;18.8;3
207;Сырковая масса нежирная;117;11.8;0.5;15.8
208;Сырковая масса жирная;333;5.3;21.6;27
36;Мясные продукты;0;0;0;0
37;Баранина тушеная консерв.;245;15.7;19.3;0.3
38;Ветчина;365;14.4;33;0
39;Говядина конс. с горохом;119;9.3;4.2;10.2
40;Говядина конс. с макарон.;119;6.8;5.4;10.2
41;Говядина конс. с фасолью;139;10.2;6.3;9.5
42;Говядина тушеная консерв.;186;16.5;12.4;0.4
43;Грудинка копченая;545;9.5;54.9;0
44;Жир бараний топленый;897;0;99.7;0
45;Жир говяжий топленый;897;0;99.7;0
46;Жир свиной топленый;897;0;99.7;0
47;Завтрак туриста (говяд.);176;20.5;10.4;0
48;Колбаса полукопченая;370;13.5;35;0
49;Колбаса сырокопченая;431;20.4;37.4;0
50;Колбасный фарш консерв.;213;15.2;15.7;2.8
51;Комбижир;879;0;94.5;0
52;Корейка копченая;549;10.5;54;0
53;Куриное филе консерв.;113;19.8;3.4;0.1
54;Мозги консерв. жареные;244;12;20.6;1
55;Мясо жареное консерв.;250;28;15;0
188;Мясо консервированное;113;15;17;0.7
56;Мясо сублимированное;600;30;50;0
57;Паштет консерв.мясной;174;10.7;12.6;3.1
58;Паштет консерв.печеночный;302;15.6;25.2;1
59;Почки консерв.в томат.соусе;147;17;6.1;3.2
60;Сало свиное соленое;739;1.8;78.6;0
61;Свинина консерв.с фасолью;126;5.1;6.3;11.9
62;Свинина мясная;121;20.4;4;0
63;Свинина тушеная консерв.;286;19.3;21.5;1.7
192;Свинина (карбонат, рулет) сублимир.;480;81.4;16;0
64;Солонина;94;15;3.5;0
189;Фарш мясной сублимированный;550;75;20;0
65;Язык говяж.консерв.в желе;215;16.6;16;1.8
68;Вобла вяленая;235;46.4;5.5;0
69;Вобла копченая;181;31.1;6.3;0
70;Вобла сушеная;229;42.9;5.8;0
71;Горбуша в собств.соку;144;18.9;7;0.5
